[24-05-23 06:14:38.266] LOG  : General     , 1684901678266> closest width=1680 freq=100.
[24-05-23 06:14:38.267] LOG  : General     , 1684901678267> closest width=1920 freq=59.
[24-05-23 06:14:38.267] LOG  : General     , 1684901678267> closest width=1920 freq=60.
[24-05-23 06:14:38.267] LOG  : General     , 1684901678267> closest width=1920 freq=100.
[24-05-23 06:14:38.267] LOG  : General     , 1684901678267> closest width=2560 freq=50.
[24-05-23 06:14:38.267] LOG  : General     , 1684901678267> closest width=2560 freq=60.
[24-05-23 06:14:38.267] LOG  : General     , 1684901678267> closest width=2560 freq=85.
[24-05-23 06:14:38.268] LOG  : General     , 1684901678268> closest width=2560 freq=100.
[24-05-23 06:14:38.268] LOG  : General     , 1684901678268> closest width=3440 freq=50.
[24-05-23 06:14:38.268] LOG  : General     , 1684901678268> closest width=3440 freq=60.
[24-05-23 06:14:38.268] LOG  : General     , 1684901678268> closest width=3440 freq=85.
[24-05-23 06:14:38.271] LOG  : General     , 1684901678271> 1684901678268 fmod: Java loging: OK.
[24-05-23 06:14:38.423] LOG  : General     , 1684901678423> 1684901678423 fmod: FMOD::Studio::System::create() result: No errors..
[24-05-23 06:14:38.424] LOG  : General     , 1684901678424> 1684901678424 fmod: FMOD::Studio::System::getCoreSystem() result: No errors..
[24-05-23 06:14:38.424] LOG  : General     , 1684901678424> 1684901678424 fmod: FMOD_System_GetVersion() result: No errors..
[24-05-23 06:14:38.424] LOG  : General     , 1684901678424> 1684901678424 fmod: fmodintegration built with version 20206, fmod shared library version 20206.
[24-05-23 06:14:38.425] LOG  : General     , 1684901678425> 1684901678425 fmod: System Create: OK.
[24-05-23 06:14:38.426] LOG  : General     , 1684901678426> 1684901678426 fmod: FMOD_System_SetSoftwareFormat() result: No errors..
[24-05-23 06:14:38.762] LOG  : General     , 1684901678762> 1684901678762 fmod: FMOD::Studio::System::Initialize() result: No errors..
[24-05-23 06:14:38.762] LOG  : General     , 1684901678762> 1684901678762 fmod: Creating DSP for capture sound.
[24-05-23 06:14:38.762] LOG  : General     , 1684901678762> 1684901678762 fmod: FMOD_System_CreateDSP() result: No errors..
[24-05-23 06:14:38.763] LOG  : General     , 1684901678763> 1684901678763 fmod: FMOD_DSP_SetBypass() result: No errors..
[24-05-23 06:14:38.763] LOG  : General     , 1684901678763> 1684901678763 fmod: FMOD_System_GetMasterChannelGroup() result: No errors..
[24-05-23 06:14:38.763] LOG  : General     , 1684901678763> 1684901678763 fmod: FMOD_ChannelGroup_AddDSP() result: No errors..
[24-05-23 06:14:38.763] LOG  : General     , 1684901678763> 1684901678763 fmod: FMOD_System_Set3DSettings() result: No errors..
[24-05-23 06:14:38.951] LOG  : General     , 1684901678951> GraphicsCard: NVIDIA Corporation NVIDIA GeForce RTX 2080/PCIe/SSE2.
[24-05-23 06:14:38.952] LOG  : General     , 1684901678952> OpenGL version: 4.6.0 NVIDIA 531.79.
[24-05-23 06:14:38.952] LOG  : General     , 1684901678952> Desktop resolution 3440x1440.
[24-05-23 06:14:38.955] LOG  : General     , 1684901678955> Initial resolution 3440x1440 fullScreen=true.
[24-05-23 06:14:38.969] LOG  : General     , 1684901678969> OpenGL 1.5 buffer objects supported.
[24-05-23 06:14:38.987] LOG  : General     , 1684901678987> VSync: ON.
