[21-05-23 01:54:28.940][info] Start chat server initialization....
[21-05-23 03:09:13.003][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:13.290][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:13.290][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:14.352][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:14.352][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:14.571][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:14.572][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:15.574][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:15.574][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:17.239][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:17.239][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:17.474][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:17.474][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:17.721][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:17.721][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:17.989][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:17.989][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:18.322][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:18.322][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:18.597][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:18.597][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:18.804][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:18.804][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:19.077][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:19.077][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:19.287][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:19.287][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:19.537][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:19.537][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:19.880][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:19.880][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:20.145][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:20.145][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:20.199][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:20.199][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:20.587][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:20.587][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:20.843][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
